id,ward,street,avenue,type,waldronCat,ordinanceNum,date,year,googleMapsVerify,gMapsDate,googleMapsType,noIntersect,streetOpen,coords.x1,coords.x2,check,status,changes
141,8,Folsom Ave.,39th,cul,3,58857,7/7/83,1983,1,3/1/15,SAME,0,0,893216.0681,1014839.548,pass,street closed,
142,8,McRee Ave.,39th,cul,3,63148,3/30/94,1994,1,7/1/11,SAME,0,0,893030.5641,1014193.288,pass,street closed,
143,8,McRee Ave.,Thurman,,4,63148,3/30/94,1994,3,3/1/15,cul/gate,0,0,891619.7461,1014354.882,pass,street closed,
144,8,McRee Ave.,Grand Blvd.,cul,3,58666,9/13/82,1982,3,3/1/15,cul/posts (4)/chains,1,0,894502.0107,1014026.109,pass,street closed,
145,8,Russell Blvd,Tower Grove,cul,3,59592,11/4/85,1985,1,9/1/14,SAME,0,0,889758.9815,1012863.095,pass,street closed,
146,8,Shenandoah Ave.,Grand Blvd.,cul,3,59592,11/4/85,1985,3,9/1/14,,0,0,894021.4319,1010934.838,pass,street closed,
147,8,Shenandoah Ave.,Tower Grove Ave.,cul,3,59592,11/4/85,1985,1,9/1/14,SAME,0,0,889544.9437,1011466.56,pass,street closed,
148,8,Thurman Ave.,I-44,pots (6),1,59592,11/4/85,1985,3,4/1/15,concrete balls (5),0,0,891517.8657,1013695.054,pass,street closed,
150,9,Crittenden St.,Grand Blvd.,wrought iron fence,2,57371,10/21/77,1977,1,6/1/16,SAME,0,0,893948.7721,1008713.362,pass,street closed,
152,9,Humphrey St.,Gravois Ave.,pots (5),1,63815,7/15/96,1996,1,5/1/15,SAME,0,0,895196.6005,1006452.555,pass,street closed,
153,9,Illinois Ave.,Arsenal St.,posts/chains,2,57645,6/21/78,1978,3,9/1/14,cul,0,0,900063.8313,1006631.349,pass,street closed,
156,9,Ohio Ave.,Gasconade,pots (3),1,61691,11/20/89,1989,1,9/1/09,,0,1,897351.0587,1000501.386,pass,street closed,
162,10,Judith Ct.,Gasconade,pots (5),1,66015,7/29/03,2003,3,10/1/11,pots(4)/fence,0,0,898134.8767,1000357.654,pass,street closed,street name fixed
163,10,Missouri Av.,Broadway,pots (5),1,66349,11/28/01,2001,1,4/1/15,SAME,0,0,899056.9795,1003113.482,pass,street closed,
164,10,Winnebago St.,Marine Av.,pots (5),1,64658,6/8/99,1999,2,7/1/11,Street Open,0,1,900091.0533,1002752.645,pass,street open,
165,16,Hi View Ave,Jamieson,,4,66922,11/23/05,2005,4,6/1/16,pots (2),0,0,874362.5529,1003894.183,pass,street open,
166,16,McCausland Ave.,Chippewa,pots (5),1,66922,11/23/05,2005,1,7/1/15,SAME,1,0,873882.5573,1003024.653,pass,street closed,
167,16,Plainview Ave.,Chippewa,pots (4),1,62532,3/30/92,1992,3,8/1/15,platform,0,0,875268.8345,1003799.482,pass,street closed,
170,17,Arco Ave.,N. Newstead Ave.,pots (4),1,62461,10/16/91,1991,3,6/1/11,concrete balls (5),0,0,889158.1587,1017649.116,pass,street closed,
171,17,Arco Ave.,N. Newstead Ave.,pots (4),1,62460,10/16/91,1991,3,10/1/14,concrete balls (5),0,0,889225.5397,1017630.646,pass,street closed,
173,17,Cadet Ave.,Kingshighway Blvd.,,4,66473,3/21/02,2002,3,6/1/11,cul,0,0,887539.4071,1017074.477,pass,street closed,
174,17,Gibson Ave.,S. Boyle Ave.,pots (4),1,62465,10/16/91,1991,4,5/1/12,concrete balls (6),0,0,890343.6807,1017664.724,pass,street open,
176,17,Gibson Ave.,Newstead Ave.,pots (4),1,62464,10/16/91,1991,3,10/1/14,concrete balls (5),0,0,889242.2683,1017965.557,pass,street closed,
177,17,Gibson Ave.,Newstead Ave.,pots (4),1,62463,10/16/91,1991,3,10/1/14,concrete balls (5),0,0,889308.8829,1017947.312,pass,street closed,
180,17,Lawn Pl.,Berthold Ave.,pots (2),1,59980,1/30/86,1986,4,7/1/11,SAME,0,0,886888.8147,1017392.286,pass,street open,
181,17,Lawn Pl.,Oakland Ave.,pots (2),1,59980,1/30/86,1986,2,7/1/15,Street Open,0,1,886948.7379,1017876.771,pass,street open,
184,17,Norfolk Ave.,S. Taylor Ave.,cul,3,59043,2/10/84,1984,1,4/1/12,SAME,0,0,888257.7423,1016314.728,pass,street closed,
185,17,Oakland Ave.,S. Kingshighway Blvd.,pots (6),1,67880,2/21/08,2008,3,7/1/15,Street Open,0,1,887517.0733,1017749.889,pass,street closed,
186,17,Oakland Ave.,S. Newstead Ave.,pots (4),1,62459,10/16/91,1991,1,10/1/14,SAME,0,0,888979.0919,1017347.711,pass,street closed,
188,17,Swan Ave.,S. Taylor Ave.,cul,3,59043,2/10/84,1984,1,6/1/11,SAME,0,0,888304.3573,1016655.575,pass,street closed,
189,17,Vista Ave.,S. Taylor Ave.,cul,3,59043,2/10/84,1984,3,4/1/12,cul/barricades (4),0,0,888186.9183,1015979.544,pass,street closed,
192,17,Wichita Ave.,Kingshighway Blvd.,,4,66473,3/21/02,2002,3,9/1/09,cul,0,0,887611.0331,1017351.047,pass,street closed,
194,18,Aubert Ave.,Page,pots (4),1,59061,3/8/84,1984,1,7/1/15,SAME,0,0,888547.3515,1029108.252,pass,street closed,
