id,street,avenue,date,year,googleMapsVerify,status,changes,additionalDate
175,Gibson Ave.,Mancester Ave.,10/16/91,1991,1,street closed,,
178,Laclede Ave.,N. Boyle Ave,5/9/78,1978,1,street closed,,
179,Laclede Ave.,S. Taylor Ave.,4/2/81,1981,3,street closed,,
182,Maryland Ave.,Whittier St.,6/24/76,1976,9,duplicate with 202,with 202,
183,Maryland Ave.,N. Boyle,1/30/86,1986,2,street open,,
187,Parkview Pl.,S. Euclid Ave.,11/23/98,1998,3,street closed,,
190,West Pine Blvd.,N. Sarah St.,8/1/83,1983,3,street closed,,
191,Whittier St.,McPherson Ave.,6/11/09,2009,9,duplicate,with 211,
193,Wise Ave.,Hereford,3/8/84,1984,0,intersection not found,,
195,Hamilton Ave.,Suburban Track Lines Hodiamont Row,3/8/84,1984,1,street closed,street name fixed,
196,Hamilton Ave.,Suburban Track Lines Hodiamont Row,3/8/84,1984,2,street open,street name fixed,
200,Enright Ave.,Taylor,7/29/03,2003,3,street closed,,
212,Whittier St.,Maryland,4/28/98,1998,9,duplicate,with 202,
216,California Ave.,Chippewa Ave,2/9/78,1978,2,street open,,
217,S. Compton Ave.,Oasge,2/9/78,1978,4,street open,,
218,S. Compton Ave.,Gascorade,2/9/78,1978,2,street open,,
219,Highland Ave.,N. Kingshighway,7/19/99,1999,3,street closed,street name fixed,
220,Labadie Ave,N. Kingshighway,9/18/78,1978,1,street closed,street name fixed,
221,Lotus Ave.,N. Kingshighway,2/23/99,1999,3,street closed,street name fixed,
222,Maffitt Pl,N. Kingshighway,10/9/91,1991,3,street closed,street name fixed,
225,San Francisco Ave.,N. Kingshighway,9/18/78,1978,2,street open,street name fixed,"August, 2011"
226,Wabada Ave.,N. Kingshighway,2/1/99,1999,3,street closed,street name fixed,
227,Winnebago St.,Jefferson Ave,7/12/00,2000,2,street open,,
236,Theodosia Ave.,Union,9/18/78,1978,1,street closed,,
240,Cabanne Ave.,Ruth Porter Mall,2/5/96,1996,1,street closed,,
247,Clemens Ave.,Clara,7/27/93,1993,2,street open,,
254,Raymond Ave.,Hodiamont Streetcar Row,5/13/05,2005,3,street closed,,
279,Pershing Ave,Taylor,3/8/84,1984,9,duplicate,with 278,
284,Waterman Blvd.,Belt,12/12/77,1977,1,street closed,,
289,Westminster Pl.,Taylor,4/10/84,1984,9,duplicate,with 210,
291,N. Spring Ave,Dodier St,,,9,appears to be temporary,,
292,Cabanne Ave.,Ruth Porter Mall,,,1,street closed,found during data checks,
293,Patton Ave,Union,,,1,street closed,found during data checks,
294,Hodimont Tracks,N. Taylor,,,1,street closed,found during data checks,
295,Enright Ave.,Ruth Porter Mall,,,1,street closed,found during data checks,
296,Enright Ave.,Ruth Porter Mall,,,1,street closed,found during data checks,
297,Ohio Ave.,mid-1100 Block,,,1,street closed,found during data checks,
298,Walton,Suburban Track Lines Hodiamont Row,,,1,street closed,found during data checks,
299,Walton,Suburban Track Lines Hodiamont Row,,,1,street closed,found during data checks,
300,Westminister Pl.,Vandeventer,,,1,street closed,found during data checks,
301,Westminister Pl.,Union,,,1,street closed,found during data checks,
302,Portland Pl,Union,,,1,street closed,found during data checks,
303,Westmorland Pl,Union,,,1,street closed,found during data checks,
304,Portland Pl,N Kingshighway,,,1,street closed,found during data checks,
305,Westmorland Pl,N Kingshighway,,,1,street closed,found during data checks,
306,Westminister Pl.,N Kingshighway,,,1,street closed,found during data checks,
307,Pershing Ave,mid-4400 Block,,,1,street closed,found during data checks,
308,Walton Row,Taylor Place Dr,,,1,street closed,found during data checks,
309,Arco,S Kingshighway,,,1,street closed,found during data checks,
